dmel_gene	chrom	start	end	name	strand
FBgn0263750	NT_167065.1	9227853.0	9229664.0	GE28433	+
FBgn0051415	NT_167065.1	9616384.0	9617356.0	GE25979	+
FBgn0085331	NT_167065.1	9695866.0	9696503.0	GE24719	-
FBgn0287598	NT_167065.1	9744186.0	9744416.0	GE25996	+
FBgn0051406	NT_167065.1	10201809.0	10202696.0	GE26030	+
FBgn0262364	NT_167065.1	16842014.0	16842642.0	GE28222	-
FBgn0260230	NT_167065.1	12164965.0	12165712.0	GE24556	-
FBgn0260231	NT_167065.1	12163942.0	12164894.0	GE24557	-
FBgn0261714	NT_167065.1	12303142.0	12307210.0	GE24546	-
FBgn0263404	NT_167065.1	12337106.0	12337463.0	GE27978	+
FBgn0264829	NT_167065.1	12405491.0	12405760.0	GE28259	+
FBgn0264830	NT_167065.1	12403881.0	12404129.0	GE28675	+
FBgn0038123	NT_167065.1	13310855.0	13311818.0	GE24464	-
FBgn0038158	NT_167065.1	13722498.0	13723240.0	GE26280	+
FBgn0038159	NT_167065.1	13726505.0	13727782.0	GE24433	-
FBgn0038225	NT_167065.1	16234319.0	16235354.0	GE26454	+
FBgn0038311	NT_167065.1	15340140.0	15341838.0	GE26396	+
FBgn0000246	NT_167065.1	14809190.0	14822608.0	GE26360	+
FBgn0263022	NT_167065.1	14777309.0	14778315.0	GE27824	+
FBgn0038377	NT_167065.1	14750336.0	14751567.0	GE24347	-
FBgn0038386	NT_167065.1	14677636.0	14678839.0	GE26346	+
FBgn0051088	NT_167065.1	14660271.0	14662489.0	GE27996	+
FBgn0085307	NT_167065.1	11436161.0	11436416.0	GE24612	-
FBgn0262006	NT_167065.1	17323689.0	17324423.0	GE28915	-
FBgn0038508	NT_167065.1	17333215.0	17333976.0	GE10131	+
FBgn0053333	NT_167065.1	17334886.0	17335358.0	GE10132	+
FBgn0262024	NT_167065.1	17339043.0	17339412.0	GE28673	+
FBgn0038509	NT_167065.1	1787442.0	1812882.0	GE25271	-
FBgn0038512	NT_167065.1	1829854.0	1830765.0	GE25268	-
FBgn0040565	NT_167065.1	1976538.0	1976881.0	GE27491	+
FBgn0262794	NW_002053447.1	1734.0	2337.0	GE28897	+
FBgn0262794	NT_167065.1	2038036.0	2038645.0	GE28129	+
FBgn0038558	NT_167065.1	2318709.0	2319692.0	GE25502	+
FBgn0263399	NT_167065.1	2324148.0	2324431.0	GE27334	+
FBgn0038612	NW_002056840.1	136.0	907.0	GE14694	-
FBgn0038612	NT_167065.1	2830707.0	2831911.0	GE25535	+
FBgn0262846	NT_167065.1	3044951.0	3045491.0	GE28379	-
FBgn0262823	NT_167065.1	3045601.0	3045936.0	GE29224	-
FBgn0051230	NT_167065.1	3147035.0	3149986.0	GE28339	+
FBgn0051226	NW_002053280.1	300.0	844.0	GE11145	-
FBgn0051226	NT_167065.1	3331865.0	3332409.0	GE25168	-
FBgn0038656	NT_167065.1	3397404.0	3397982.0	GE25166	-
FBgn0051459	NT_167065.1	4436239.0	4437460.0	GE25627	+
FBgn0038741	NT_167065.1	4472541.0	4474113.0	GE25108	-
FBgn0051206	NT_167065.1	4735292.0	4736365.0	GE25086	-
FBgn0051206	NW_002053694.1	1029.0	2095.0	GE28234	-
FBgn0287211	NW_002053279.1	1890.0	2206.0	GE27510	-
FBgn0044810	NW_002053284.1	4642.0	5246.0	GE28655	-
FBgn0262144	NT_167065.1	7951234.0	7951718.0	GE28254	+
FBgn0015229	NT_167065.1	18502461.0	18508234.0	GE24080	-
FBgn0051174	NT_167065.1	18521840.0	18522757.0	GE24078	-
FBgn0053107	NT_167065.1	19257633.0	19258928.0	GE24023	-
FBgn0262541	NT_167065.1	19446894.0	19447429.0	GE28534	-
FBgn0263777	NT_167065.1	20131826.0	20131955.0	GE28170	-
FBgn0039088	NT_167065.1	20266893.0	20269482.0	GE23945	-
FBgn0002863	NT_167065.1	26452098.0	26452713.0	GE28661	-
FBgn0051128	NT_167065.1	26206357.0	26207091.0	GE23488	-
FBgn0053494	NT_167065.1	25162017.0	25163455.0	GE10691	+
FBgn0051093	NT_167065.1	24858801.0	24859522.0	GE10661	+
FBgn0250831	NT_167065.1	24841101.0	24841667.0	GE27528	-
FBgn0011670	NT_167065.1	24817118.0	24817531.0	GE28106	+
FBgn0011669	NT_167065.1	24815936.0	24816239.0	GE28390	+
FBgn0262576	NT_167065.1	24657157.0	24658432.0	GE10653	+
FBgn0263401	NT_167065.1	23227398.0	23227694.0	GE27667	-
FBgn0262613	NT_167065.1	23155350.0	23155998.0	GE10562	+
FBgn0262613	NT_167065.1	23154296.0	23155265.0	GE10561	+
FBgn0051055	NT_167065.1	22973128.0	22975120.0	GE10547	+
FBgn0039659	NT_167065.1	21366972.0	21368609.0	GE10456	+
FBgn0039752	NT_167065.1	26937209.0	26939455.0	GE10862	+
FBgn0263402	NT_167065.1	26997261.0	26997684.0	GE28778	-
FBgn0261704	NT_167065.1	27162514.0	27162958.0	GE27635	-
FBgn0039792	NT_167065.1	27374640.0	27376331.0	GE23372	-
FBgn0039811	NT_167065.1	27689013.0	27689603.0	GE23349	-
FBgn0261583	NT_167065.1	28466903.0	28467434.0	GE23307	-
